晕倒一次，嘴唇有时发紫，呼吸较快是属于心脏病的症状吗？,这些现象并不一定就是心脏病的表现，有必要去作一些相关的检查
左胸有累的感觉，呼吸困难,这是心脏疾病引起的，建议做心电图和心脏彩超
有时胸口痛，蹲下去再站起来就头晕眼花,是体位性低血压，可以口服生脉饮或六味地黄丸治疗
两年病史，下肢浮肿，身体消瘦，肚子隆起，食欲不正，少吃,这种情况考虑是心衰引起的，建议查下B超看下是否有腹水
经常会心慌，去做过检查，有医生说要做射频消融手术，有没有其他办法,如果室上速，建议最好进行心脏射频术治疗
心脏射频属先天性疾病吗？,射频导管消融是可以获得很高的根治率的，因此现在是首选的治疗
心脏病应该做什么检查证实？,目前检查心脏的方法是很多的。最基本的是心电图、X光片、超声等
窦性心律是什么？,窦性心律就是正常心律
长期心衰、气揣、行走无力,需要进一步看医生确诊，如果风湿性心脏病需要心脏瓣膜置换治疗
请问唇紫红是心脏有问题吗？,很有可能，建议做心超看看
刚做心脏的二尖瓣成形和室缺需要注意点什么？,这种情况需要注意休息，加强营养，防止感冒
心跳时突然停两下,这样的情况是需要积极的心电图检查确诊病因治疗的
倍他乐克可以长期使用吗？,倍他乐克可以长期使用，不能突然停药
嘴唇发黑，呼吸有时困难，有时心跳加快,需要进行系统的检查才能明确诊断
心电图异常，医生说是心泡炎，严重吗？,主要就是怕出现心包积液问题，还是有点严重的
三尖瓣关闭不全是怎么回事？,考虑是阵发性心动过速，建议检查24小时动态心电图
心律失常室早,先心就易出现这种情况